# time 	NO2 	NO2Err 	avgNO2 	averageNO2std
 0.0 	 4.3857 	 0.4377 	10.7526 	 6.8980
 2.0 	 4.5324 	 0.5157 	10.7294 	 6.8808
 4.0 	 4.7581 	 0.5697 	10.6853 	 6.8488
 6.0 	 4.4580 	 0.5145 	10.6244 	 6.8058
 8.0 	 4.2973 	 0.4548 	10.5509 	 6.7562
10.0 	 4.2812 	 0.4728 	10.4689 	 6.7035
12.0 	 4.2191 	 0.5415 	10.3813 	 6.6502
14.0 	 4.1515 	 0.4593 	10.2906 	 6.5977
16.0 	 4.3770 	 0.5211 	10.1990 	 6.5467
18.0 	 4.4308 	 0.5703 	10.1087 	 6.4977
20.0 	 4.1457 	 0.5154 	10.0217 	 6.4518
22.0 	 4.2652 	 0.5082 	 9.9395 	 6.4101
24.0 	 5.0219 	 0.5547 	 9.8623 	 6.3741
26.0 	 5.6421 	 0.5469 	 9.7897 	 6.3451
28.0 	 5.7870 	 0.5022 	 9.7206 	 6.3233
30.0 	 5.6309 	 0.5139 	 9.6539 	 6.3078
32.0 	 4.8354 	 0.5589 	 9.5882 	 6.2957
34.0 	 4.6684 	 0.4425 	 9.5221 	 6.2825
36.0 	 4.3242 	 0.4269 	 9.4545 	 6.2630
38.0 	 4.2696 	 0.5142 	 9.3842 	 6.2328
40.0 	 4.3796 	 0.5325 	 9.3107 	 6.1897
42.0 	 4.4051 	 0.4575 	 9.2343 	 6.1346
44.0 	 4.9036 	 0.5907 	 9.1556 	 6.0711
46.0 	 4.8701 	 0.5823 	 9.0755 	 6.0031
48.0 	 4.9014 	 0.5490 	 8.9943 	 5.9339
50.0 	 4.4742 	 0.5670 	 8.9115 	 5.8644
52.0 	 4.4088 	 0.7176 	 8.8269 	 5.7940
54.0 	 4.3586 	 0.5316 	 8.7404 	 5.7217
56.0 	 4.4316 	 0.4515 	 8.6537 	 5.6484
58.0 	 4.6178 	 0.5634 	 8.5699 	 5.5774
60.0 	 4.5763 	 0.5133 	 8.4939 	 5.5148
62.0 	 4.9011 	 0.5850 	 8.4303 	 5.4670
64.0 	 5.1973 	 0.5586 	 8.3823 	 5.4382
66.0 	 5.3817 	 0.6633 	 8.3498 	 5.4283
68.0 	 4.8031 	 0.6861 	 8.3293 	 5.4323
70.0 	 4.3936 	 0.8637 	 8.3149 	 5.4416
72.0 	 4.4335 	 0.6318 	 8.2999 	 5.4469
74.0 	 4.5981 	 0.5616 	 8.2791 	 5.4411
76.0 	 4.6116 	 0.5043 	 8.2502 	 5.4216
78.0 	 4.6270 	 0.6321 	 8.2145 	 5.3911
80.0 	 4.7738 	 0.5181 	 8.1752 	 5.3561
82.0 	 4.5783 	 0.5316 	 8.1372 	 5.3248
84.0 	 4.6413 	 0.5856 	 8.1048 	 5.3049
86.0 	 4.9555 	 0.5544 	 8.0814 	 5.3008
88.0 	 5.0232 	 0.5547 	 8.0685 	 5.3131
90.0 	 5.1132 	 0.5784 	 8.0658 	 5.3375
92.0 	 5.0728 	 0.6969 	 8.0709 	 5.3667
94.0 	 4.9322 	 0.5136 	 8.0800 	 5.3920
96.0 	 4.9493 	 0.4752 	 8.0884 	 5.4057
98.0 	 5.1872 	 0.4944 	 8.0914 	 5.4031
100.0 	 4.9381 	 0.3822 	 8.0857 	 5.3835
102.0 	 5.1395 	 0.5148 	 8.0701 	 5.3501
104.0 	 5.0580 	 0.5388 	 8.0452 	 5.3084
106.0 	 5.1055 	 0.5571 	 8.0137 	 5.2649
108.0 	 5.1131 	 0.5055 	 7.9792 	 5.2250
110.0 	 5.0828 	 0.5319 	 7.9459 	 5.1924
112.0 	 5.3277 	 0.5982 	 7.9171 	 5.1687
114.0 	 4.8734 	 0.4719 	 7.8947 	 5.1534
116.0 	 4.9332 	 0.5352 	 7.8786 	 5.1448
118.0 	 5.0559 	 0.5937 	 7.8669 	 5.1404
120.0 	 4.9415 	 0.5466 	 7.8569 	 5.1375
122.0 	 4.7244 	 0.4152 	 7.8457 	 5.1341
124.0 	 4.8427 	 0.4587 	 7.8316 	 5.1294
126.0 	 4.7314 	 0.5079 	 7.8144 	 5.1240
128.0 	 4.5950 	 0.4515 	 7.7955 	 5.1202
130.0 	 4.4839 	 0.5136 	 7.7777 	 5.1213
132.0 	 4.6653 	 0.6018 	 7.7636 	 5.1307
134.0 	 4.6198 	 0.5220 	 7.7550 	 5.1502
136.0 	 4.4112 	 0.4410 	 7.7525 	 5.1797
138.0 	 4.4600 	 0.5445 	 7.7545 	 5.2163
140.0 	 4.4049 	 0.5157 	 7.7582 	 5.2545
142.0 	 4.7048 	 0.4332 	 7.7598 	 5.2872
144.0 	 4.6634 	 0.4230 	 7.7551 	 5.3075
146.0 	 4.6731 	 0.4437 	 7.7407 	 5.3094
148.0 	 4.5341 	 0.5151 	 7.7146 	 5.2901
150.0 	 4.5138 	 0.4503 	 7.6769 	 5.2498
152.0 	 4.6344 	 0.5448 	 7.6303 	 5.1925
154.0 	 4.6153 	 0.5055 	 7.5795 	 5.1248
156.0 	 4.6959 	 0.4974 	 7.5306 	 5.0541
158.0 	 4.9382 	 0.5730 	 7.4892 	 4.9873
160.0 	 4.9155 	 0.5337 	 7.4593 	 4.9289
162.0 	 4.8816 	 0.4860 	 7.4422 	 4.8808
164.0 	 4.7050 	 0.4365 	 7.4366 	 4.8421
166.0 	 4.8626 	 0.4839 	 7.4393 	 4.8106
168.0 	 4.7027 	 0.4368 	 7.4466 	 4.7838
170.0 	 5.0841 	 0.5247 	 7.4551 	 4.7592
172.0 	 5.2826 	 0.5529 	 7.4625 	 4.7353
174.0 	 5.1218 	 0.5562 	 7.4675 	 4.7114
176.0 	 5.1788 	 0.5604 	 7.4695 	 4.6874
178.0 	 5.1756 	 0.5547 	 7.4678 	 4.6629
180.0 	 4.6705 	 0.5283 	 7.4612 	 4.6371
182.0 	 4.7117 	 0.5433 	 7.4485 	 4.6093
184.0 	 4.7452 	 0.5745 	 7.4289 	 4.5786
186.0 	 4.7483 	 0.4338 	 7.4020 	 4.5448
188.0 	 4.8454 	 0.4572 	 7.3687 	 4.5086
190.0 	 4.9250 	 0.4836 	 7.3306 	 4.4708
192.0 	 4.6521 	 0.5304 	 7.2900 	 4.4324
194.0 	 4.3307 	 0.5298 	 7.2492 	 4.3940
196.0 	 4.3309 	 0.5574 	 7.2099 	 4.3559
198.0 	 4.4954 	 0.7269 	 7.1737 	 4.3184
200.0 	 4.3089 	 0.5643 	 7.1410 	 4.2821
202.0 	 4.2777 	 0.5697 	 7.1125 	 4.2479
204.0 	 4.1961 	 0.5682 	 7.0882 	 4.2164
206.0 	 4.2742 	 0.6120 	 7.0682 	 4.1876
208.0 	 4.7549 	 0.4596 	 7.0527 	 4.1606
210.0 	 4.6300 	 0.4728 	 7.0418 	 4.1345
212.0 	 4.8220 	 0.5220 	 7.0359 	 4.1084
214.0 	 4.7782 	 0.4581 	 7.0360 	 4.0829
216.0 	 4.8232 	 0.5724 	 7.0433 	 4.0592
218.0 	 4.8000 	 0.6135 	 7.0590 	 4.0394
220.0 	 4.7490 	 0.5604 	 7.0836 	 4.0250
222.0 	 4.7457 	 0.4671 	 7.1163 	 4.0167
224.0 	 4.6818 	 0.5688 	 7.1549 	 4.0141
226.0 	 5.1636 	 0.5817 	 7.1960 	 4.0162
228.0 	 5.4251 	 0.5544 	 7.2361 	 4.0218
230.0 	 5.5157 	 0.6126 	 7.2724 	 4.0306
232.0 	 5.5491 	 0.5736 	 7.3031 	 4.0430
234.0 	 5.3123 	 0.5760 	 7.3283 	 4.0600
236.0 	 5.3951 	 0.5376 	 7.3487 	 4.0822
238.0 	 5.8227 	 0.5892 	 7.3659 	 4.1096
240.0 	 5.8754 	 0.6000 	 7.3816 	 4.1409
242.0 	 6.1434 	 0.5532 	 7.3976 	 4.1740
244.0 	 6.2452 	 0.5121 	 7.4155 	 4.2062
246.0 	 6.4210 	 0.5679 	 7.4369 	 4.2350
248.0 	 6.2667 	 0.5700 	 7.4626 	 4.2582
250.0 	 6.3227 	 0.4959 	 7.4927 	 4.2750
252.0 	 6.6578 	 0.5715 	 7.5267 	 4.2855
254.0 	 6.8035 	 0.4911 	 7.5636 	 4.2916
256.0 	 7.0047 	 0.5055 	 7.6025 	 4.2960
258.0 	 7.0375 	 0.4941 	 7.6422 	 4.3016
260.0 	 7.2156 	 0.5325 	 7.6811 	 4.3100
